HJD,mag_theo,mag_sim,filter,saturation,detection
  60333.18279,  20.673,  20.667,u,0,0
  59977.08213,  20.125,  20.133,u,0,0
  59923.08358,  20.364,  20.373,u,0,0
  60310.06583,  20.423,  20.423,u,0,0
  59946.06884,  20.268,  20.275,u,0,0
  60015.03535,  20.103,  20.092,u,0,0
  60302.07072,  20.540,  20.535,u,0,0
  60015.03576,  20.103,  20.100,u,0,0
  60330.14944,  20.693,  20.702,u,0,0
  59984.08908,  20.455,  20.462,u,0,0
  59919.27027,  20.440,  20.440,u,0,0
  60310.09126,  19.429,  19.431,g,0,0
  59915.05928,  19.398,  19.399,g,0,0
  60310.08168,  19.407,  19.409,g,0,0
  59946.08460,  19.244,  19.245,g,0,0
  60295.07030,  19.198,  19.198,g,0,0
  60255.30715,  19.567,  19.567,g,0,0
  59923.09937,  19.340,  19.340,g,0,0
  59918.21030,  19.597,  19.599,g,0,0
  59919.28841,  19.424,  19.423,g,0,0
  60305.25469,  19.517,  19.516,g,0,0
  59919.28617,  19.420,  19.419,g,0,0
  59984.10492,  19.430,  19.429,g,0,0
  60310.10710,  19.478,  19.475,r,0,0
  60333.19878,  19.653,  19.654,r,0,0
  60004.03385,  19.434,  19.432,r,0,0
  60293.04294,  19.146,  19.140,r,0,0
  60293.03831,  19.157,  19.152,r,0,0
  59925.11448,  19.606,  19.609,r,0,0
  59915.04353,  19.388,  19.386,r,0,0
  60390.00604,  19.584,  19.584,r,0,0
  60243.36010,  19.462,  19.464,r,0,0
  60295.05452,  19.241,  19.240,r,0,0
  60338.12804,  19.523,  19.523,r,0,0
  59970.05086,  19.608,  19.609,r,0,0
  60255.32301,  19.612,  19.614,r,0,0
  60302.05490,  19.480,  19.482,r,0,0
  60015.05161,  19.162,  19.164,r,0,0
  59977.06601,  19.139,  19.137,r,0,0
  59943.06235,  19.450,  19.448,r,0,0
  60553.42270,  19.206,  19.205,r,0,0
  60015.05203,  19.158,  19.158,r,0,0
  60276.29632,  19.337,  19.335,r,0,0
  59970.05297,  19.603,  19.605,r,0,0
  60305.27055,  19.309,  19.309,r,0,0
